epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2666,2.18748,4.86555,1.80523,0.00064,0.2,0.00899,0.00536,1.47308,4.72039,1.46931,7.5e-05,7.5e-05,7.5e-05
2,116.05,1.72469,4.31908,1.45942,0.00207,0.475,0.12462,0.07017,1.40268,4.57232,1.35378,0.000159282,0.000159282,0.000159282
3,170.951,1.41431,3.89421,1.29905,0.00221,0.5,0.24867,0.16449,1.28214,4.41555,1.21124,0.0002401,0.0002401,0.0002401
4,603.753,1.40188,3.71603,1.25554,0.00218,0.5,0.25053,0.18137,1.30502,4.46032,1.21204,0.000317452,0.000317452,0.000317452
5,688.494,1.42562,3.68619,1.24649,0.00237,0.5,0.2112,0.09804,1.4982,4.60151,1.40953,0.00039134,0.00039134,0.00039134
6,780.35,1.45766,3.24463,1.28794,0.00244,0.475,0.20853,0.0947,1.74411,4.65611,1.50361,0.000461763,0.000461763,0.000461763
7,870.961,1.41382,3.00718,1.2688,0.00294,0.525,0.24351,0.12977,1.58222,4.39369,1.29422,0.00052872,0.00052872,0.00052872
8,957.976,1.44121,2.86049,1.24167,0.00313,0.525,0.22443,0.12599,1.66156,4.49957,1.33392,0.000592213,0.000592213,0.000592213
9,1045.95,1.45107,2.75676,1.3255,0.00339,0.55,0.20181,0.09606,1.76934,4.63133,1.40663,0.00065224,0.00065224,0.00065224
10,1132.58,1.49808,2.48301,1.25069,0.47018,0.25,0.20893,0.12964,1.33434,4.11232,1.20006,0.000708803,0.000708803,0.000708803
11,1219.81,1.27835,2.52443,1.22278,0.71682,0.13439,0.32087,0.21641,1.43317,3.87714,1.20896,0.0007619,0.0007619,0.0007619
12,1308.31,1.31886,2.1462,1.14654,0.68162,0.15,0.38416,0.23005,1.37662,3.73335,1.16897,0.000811533,0.000811533,0.000811533
13,1395.91,1.34699,2.24922,1.19854,0.68646,0.2385,0.4346,0.24383,1.37141,3.57059,1.16434,0.0008577,0.0008577,0.0008577
14,1484.46,1.27155,2.08297,1.16985,0.43787,0.29056,0.43151,0.24534,1.45254,3.54029,1.21867,0.000900402,0.000900402,0.000900402
15,1573.58,1.28971,2.09214,1.12829,0.33984,0.2812,0.42366,0.25674,1.55528,3.52741,1.32801,0.0009035,0.0009035,0.0009035
16,1662.6,1.2751,1.97235,1.12012,0.46076,0.47915,0.44535,0.24165,1.63504,3.33963,1.30706,0.00087875,0.00087875,0.00087875
17,1751.03,1.20027,1.91243,1.1239,0.47658,0.46375,0.4159,0.20725,1.69134,3.4332,1.36693,0.000854,0.000854,0.000854
18,1839.54,1.29207,1.96007,1.16518,0.57831,0.32424,0.37771,0.19947,1.77155,3.78731,1.45598,0.00082925,0.00082925,0.00082925
19,1928.71,1.23964,1.80282,1.08211,0.2641,0.425,0.38419,0.22571,1.58248,3.6422,1.36353,0.0008045,0.0008045,0.0008045
20,2017.94,1.14505,1.94935,1.1092,0.73104,0.41238,0.44434,0.24968,1.6171,3.34146,1.40353,0.00077975,0.00077975,0.00077975
21,2106.82,1.19958,1.86977,1.13681,0.79489,0.33521,0.4236,0.22099,1.62378,3.21768,1.40839,0.000755,0.000755,0.000755
22,2193.02,1.25255,1.77436,1.1213,0.71711,0.325,0.35528,0.17206,1.78046,3.37641,1.45365,0.00073025,0.00073025,0.00073025
23,2279.55,1.29697,1.79459,1.14902,0.37278,0.475,0.43164,0.23158,1.63616,3.18287,1.35906,0.0007055,0.0007055,0.0007055
24,2365.85,1.16598,1.83745,1.13557,0.49949,0.45,0.43683,0.24114,1.59122,3.10403,1.3464,0.00068075,0.00068075,0.00068075
25,2435.47,1.11013,1.56039,1.07469,0.60059,0.41278,0.42618,0.2385,1.54577,3.08335,1.35483,0.000656,0.000656,0.000656
